metadata,category,readcode,readterm,medcode
,9,9t16.00,Asian or Asian British: Indian - NI ethnic cat 2011 census,110422
,9,9t28.00,"Asian: Indian, Indian Scot/Indian Brit- Scotland 2011 census",111368
,9,9t08.00,Asian/Asian Brit: Indian - Eng+Wales ethnic cat 2011 census,110477
,9,9T1D.00,Indian,25920
,10,9S7..00,Pakistani,24690
,10,9i8..00,Pakistani or British Pakistani - ethnic category 2001 census,12460
,10,9t09.00,Asian/Asian British:Pakistani- Eng+Wales eth cat 2011 census,110464
,10,9t17.00,Asian/Asian British: Pakistani - NI ethnic cat 2011 census,110538
,10,9t27.00,Asian: Pakistani/Pakistani Scot/Pakistani Brit- Scot 2011,110460
,11,9S8..00,Bangladeshi,24740
,11,9i9..00,Bangladeshi or British Bangladeshi - ethn categ 2001 census,28888
,11,9t18.00,Asian/Asian British: Bangladeshi - NI ethnic cat 2011 census,110720
,11,9t0A.00,Asian/Asian Brit: Bangladeshi- Eng+Wales eth cat 2011 census,110590
,11,9t29.00,"Bangladeshi, Bangladeshi Scot or Bangladeshi Brit- Scot 2011",112225
,12,9S9..00,Chinese,24272
,12,9iE..00,Chinese - ethnic category 2001 census,12468
,12,9t2A.00,Asian: Chinese - Scotland ethnic category 2011 census,111064
,12,9t19.00,Asian/Asian British: Chinese - NI ethnic cat 2011 census,112363
,12,9t0B.00,Asian/Asian Brit: Chinese - Eng+Wales ethnic cat 2011 census,110922
,12,9T1C.00,Chinese,12718
,13,9SA6.00,E Afric Asian/Indo-Carib (NMO),38097
,13,9iA2.00,Kashmiri - ethnic category 2001 census,64133
,13,9SA6.11,East African Asian (NMO),46818
,13,9SA8.00,Other Asian (NMO),26379
,13,9SH..00,Other Asian ethnic group,12668
,13,9iA..00,Other Asian background - ethnic category 2001 census,12513
,13,9iA3.00,East African Asian - ethnic category 2001 census,47077
,13,9iA8.00,British Asian - ethnic category 2001 census,12653
,13,9iAA.00,Other Asian or Asian unspecified ethnic category 2001 census,28935
,13,9SA6.12,Indo-Caribbean (NMO),99316
,13,9t2B.00,Asian: other Asian group - Scotland ethnic cat 2011 census,110855
,13,9t0C.00,Asian/Asian Brit: other Asian- Eng+Wales eth cat 2011 census,111743
,13,9t1A.00,Asian/Asian British: other Asian - NI ethnic cat 2011 census,110425
,13,9T1E.00,Other Asian,32396
,13,9iA4.00,Sri Lankan - ethnic category 2001 census,12608
,13,9iA5.00,Tamil - ethnic category 2001 census,12760
,13,9iA6.00,Sinhalese - ethnic category 2001 census,12887
,13,9iF0.00,Vietnamese - ethnic category 2001 census,12719
,13,9iF1.00,Japanese - ethnic category 2001 census,12473
,13,9iF2.00,Filipino - ethnic category 2001 census,12420
,13,9iF3.00,Malaysian - ethnic category 2001 census,12730
,13,9T1B.00,South East Asian,46649
,13,9SC..00,Vietnamese,25411
,14,9S3..00,Black African,12778
,14,9S44.00,Black - other African country,35412
,14,9SA5.00,Other African countries (NMO),47969
,14,9iC..00,African - ethnic category 2001 census,12350
,14,9iD1.00,Nigerian - ethnic category 2001 census,32886
,14,9S41.00,Black British,12452
,14,9S43.11,Black North African,46812
,14,9iD2.00,Black British - ethnic category 2001 census,40097
,14,9t2D.00,African: any other African - Scotland ethnic cat 2011 census,110655
,14,9t1B.00,Black/Afri/Carib/Black Brit: African- NI eth cat 2011 census,110630
,14,9t2C.00,African: African/African Scot/African Brit - Scotland 2011,111059
,14,9t0D.00,Black/African/Carib/Black Brit: African- Eng+Wales 2011 cens,110437
,14,9iFA.00,North African - ethnic category 2001 census,47028
,15,9S2..00,Black Caribbean,12632
,15,9S42.00,Black Caribbean/W.I./Guyana,57435
,15,9S42.11,Black Caribbean,47950
,15,9S42.12,Black West Indian,47997
,15,9S42.13,Black Guyana,32100
,15,9SA3.00,Caribbean I./W.I./Guyana (NMO),54593
,15,9SA3.11,Caribbean Island (NMO),57094
,15,9SA3.12,West Indian (NMO),57075
,15,9SA3.13,Guyana (NMO),93144
,15,9iB..00,Caribbean - ethnic category 2001 census,12432
,15,9t0E.00,Black/African/Caribbn/Black Brit: Caribbean - Eng+Wales 2011,110436
,15,9t1C.00,Black/Afri/Carib/Black Brit: Caribbean- NI eth cat 2011 cens,110779
,15,9t2E.00,Carib/Black: Caribbean/Carib Scot/Carib Brit- Scotland 2011,113671
,16,9S45.00,Black E Afric Asia/Indo-Caribb,47965
,16,9S45.11,Black East African Asian,57753
,16,9S45.12,Black Indo-Caribbean,57763
,16,9S46.00,Black Indian sub-continent,48005
,16,9S47.00,Black - other Asian,35350
,16,9S52.00,Other Black - Black/Asian orig,32165
,16,9iD0.00,Somali - ethnic category 2001 census,12443
,16,9S4..00,"Black, other, non-mixed origin",24339
,16,9S43.13,Black Iranian,50286
,16,9S48.00,Black Black - other,26312
,16,9S5..00,"Black - other, mixed",25676
,16,9SG..00,Other black ethnic group,32136
,16,9iD..00,Other Black background - ethnic category 2001 census,32389
,16,9iD4.00,Other Black or Black unspecified ethnic category 2001 census,46047
,16,9t1D.00,Black/Afri/Carib/Black Brit: other - NI eth cat 2011 census,111880
,16,9t0F.00,Black/Afr/Carib/Black Brit: other Black- Eng+Wales 2011 cens,110540
,16,9t2G.00,Carib/Black: any other Black/Caribbean grp - Scotland 2011,112216
,16,9t2F.00,Carib/Black: Black/Black Scot/Black Brit- Scotland 2011 cens,112649
,17,9S43.00,Black N African/Arab/Iranian,41329
,17,9S43.12,Black Arab,57752
,17,9SA4.00,N African Arab/Iranian (NMO),24962
,17,9SA4.11,North African Arab (NMO),47285
,17,9SA4.12,Iranian (NMO),25082
,17,9iF9.00,Arab - ethnic category 2001 census,46059
,17,9t1E.00,Other ethnic group: Arab - NI ethnic category 2011 census,110780
,17,9t0G.00,Other ethnic group: Arab - Eng+Wales ethnic cat 2011 census,110555
